Timestamp;S [VA] - SM4000P (ADDR=1 CONN=192.168.0.128);Status [] - SM4000P (ADDR=1 CONN=192.168.0.128);Ierr DC [mA] - SM4000P (ADDR=1 CONN=192.168.0.128);cos? [rad] - SM4000P (ADDR=1 CONN=192.168.0.128);Vac 10min [V] - SM4000P (ADDR=1 CONN=192.168.0.128);Iac [A] - SM4000P (ADDR=1 CONN=192.168.0.128);Idc 1 [A] - SM4000P (ADDR=1 CONN=192.168.0.128);Frequency [Hz] - SM4000P (ADDR=1 CONN=192.168.0.128);Warnings [] - SM4000P (ADDR=1 CONN=192.168.0.128);Pdc [W] - SM4000P (ADDR=1 CONN=192.168.0.128);Pdc  1 [W] - SM4000P (ADDR=1 CONN=192.168.0.128);Pac [W] - SM4000P (ADDR=1 CONN=192.168.0.128);Ierr [mA] - SM4000P (ADDR=1 CONN=192.168.0.128);Idc [A] - SM4000P (ADDR=1 CONN=192.168.0.128);Temperature max. [°C] - SM4000P (ADDR=1 CONN=192.168.0.128);Iac mean [A] - SM4000P (ADDR=1 CONN=192.168.0.128);Pdc  2 [W] - SM4000P (ADDR=1 CONN=192.168.0.128);Vdc 2 [V] - SM4000P (ADDR=1 CONN=192.168.0.128);Q [var] - SM4000P (ADDR=1 CONN=192.168.0.128);Idc 2 [A] - SM4000P (ADDR=1 CONN=192.168.0.128);Vdc 1 [V] - SM4000P (ADDR=1 CONN=192.168.0.128);Vac [V] - SM4000P (ADDR=1 CONN=192.168.0.128)
2014-10-13 07:11:49:299;0.0;20002.0;0.9;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;1.0;0.1;22.0;0.0;15.0;270.5;0.0;0.06;270.0;0.0
2014-10-13 07:11:54:307;0.0;20002.0;0.5;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;0.6;0.1;22.0;0.0;15.0;270.6;0.0;0.06;270.1;0.0
2014-10-13 07:11:59:314;0.0;20002.0;0.8;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;0.8;0.1;22.0;0.0;15.0;270.6;0.0;0.06;270.1;0.0
2014-10-13 07:12:04:322;0.0;20002.0;0.4;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;0.4;0.1;22.0;0.0;15.0;270.7;0.0;0.06;270.2;0.0
2014-10-13 07:12:09:329;0.0;20002.0;0.8;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;0.8;0.1;22.0;0.0;15.0;270.7;0.0;0.06;270.2;0.0
2014-10-13 07:12:14:336;0.0;20002.0;0.6;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;0.6;0.1;22.0;0.0;15.0;270.8;0.0;0.06;270.3;0.0
2014-10-13 07:12:19:344;0.0;20002.0;1.3;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;1.3;0.1;22.0;0.0;15.0;270.8;0.0;0.06;270.3;0.0
2014-10-13 07:12:24:351;0.0;20002.0;0.5;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;0.5;0.1;22.0;0.0;15.0;270.9;0.0;0.06;270.4;0.0
2014-10-13 07:12:29:359;0.0;20002.0;0.6;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;0.6;0.1;22.0;0.0;15.0;271.0;0.0;0.06;270.4;0.0
2014-10-13 07:12:34:366;0.0;20002.0;0.8;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;0.9;0.1;22.0;0.0;15.0;271.0;0.0;0.06;270.5;0.0
2014-10-13 07:12:39:374;0.0;20013.0;0.8;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;0.8;0.1;22.0;0.0;15.0;271.1;0.0;0.06;270.6;0.0
2014-10-13 07:12:44:381;0.0;20013.0;5.3;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;5.3;0.1;22.0;0.0;15.0;271.1;0.0;0.06;270.6;0.0
2014-10-13 07:12:49:389;0.0;20002.0;2.1;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;2.1;0.1;22.0;0.0;15.0;271.2;0.0;0.06;270.7;0.0
2014-10-13 07:12:54:396;0.0;20002.0;1.9;0.0;0.0;0.01;0.04;0.0;0.0;25.0;10.0;0.0;1.9;0.1;22.0;0.0;15.0;271.2;0.0;0.06;270.7;0.0
