Timestamp;S [VA] - SM4000P (ADDR=1 CONN=192.168.0.128);Status [] - SM4000P (ADDR=1 CONN=192.168.0.128);Ierr DC [mA] - SM4000P (ADDR=1 CONN=192.168.0.128);cos? [rad] - SM4000P (ADDR=1 CONN=192.168.0.128);Vac 10min [V] - SM4000P (ADDR=1 CONN=192.168.0.128);Iac [A] - SM4000P (ADDR=1 CONN=192.168.0.128);Idc 1 [A] - SM4000P (ADDR=1 CONN=192.168.0.128);Frequency [Hz] - SM4000P (ADDR=1 CONN=192.168.0.128);Warnings [] - SM4000P (ADDR=1 CONN=192.168.0.128);Pdc [W] - SM4000P (ADDR=1 CONN=192.168.0.128);Pdc  1 [W] - SM4000P (ADDR=1 CONN=192.168.0.128);Pac [W] - SM4000P (ADDR=1 CONN=192.168.0.128);Ierr [mA] - SM4000P (ADDR=1 CONN=192.168.0.128);Idc [A] - SM4000P (ADDR=1 CONN=192.168.0.128);Temperature max. [°C] - SM4000P (ADDR=1 CONN=192.168.0.128);Iac mean [A] - SM4000P (ADDR=1 CONN=192.168.0.128);Pdc  2 [W] - SM4000P (ADDR=1 CONN=192.168.0.128);Vdc 2 [V] - SM4000P (ADDR=1 CONN=192.168.0.128);Q [var] - SM4000P (ADDR=1 CONN=192.168.0.128);Idc 2 [A] - SM4000P (ADDR=1 CONN=192.168.0.128);Vdc 1 [V] - SM4000P (ADDR=1 CONN=192.168.0.128);Vac [V] - SM4000P (ADDR=1 CONN=192.168.0.128)
2014-10-12 09:29:52:997;2707.0;20008.0;2.0;0.0;244.5;11.12;6.3;50.03;0.0;2775.0;1373.0;2717.0;10.2;12.72;45.0;0.02;1402.0;218.4;0.0;6.42;218.0;244.3
2014-10-12 09:29:58:005;2718.0;20008.0;2.0;0.0;244.5;10.8;6.3;50.05;0.0;2775.0;1373.0;2711.0;10.2;12.72;45.0;0.0;1402.0;220.3;0.0;6.42;220.0;244.7
2014-10-12 09:30:03:012;2708.0;20008.0;1.9;0.0;244.5;11.11;6.35;50.05;0.0;2774.0;1373.0;2716.0;10.1;12.83;45.0;0.0;1401.0;216.4;0.0;6.48;216.0;244.8
2014-10-12 09:30:08:020;2715.0;20008.0;2.0;0.0;244.5;10.81;6.24;50.03;0.0;2773.0;1372.0;2722.0;10.2;12.6;45.0;0.0;1401.0;220.3;0.0;6.36;219.9;244.3
2014-10-12 09:30:13:027;2715.0;20008.0;2.0;0.0;244.5;10.8;6.35;50.01;0.0;2777.0;1374.0;2716.0;10.2;12.83;45.0;0.0;1403.0;216.6;0.0;6.48;216.2;244.3
2014-10-12 09:30:18:035;2706.0;20008.0;2.0;0.0;244.4;10.8;6.35;49.99;0.0;2777.0;1374.0;2716.0;10.2;12.82;45.0;0.0;1403.0;216.9;0.0;6.47;216.5;244.2
2014-10-12 09:30:23:043;2714.0;20008.0;2.0;0.0;244.4;10.76;6.27;50.0;0.0;2775.0;1373.0;2716.0;10.2;12.67;45.0;0.0;1402.0;219.1;9.0;6.4;218.7;244.3
2014-10-12 09:30:28:050;2722.0;20008.0;2.0;0.0;244.4;10.86;6.31;50.01;0.0;2777.0;1374.0;2715.0;10.2;12.74;45.0;0.0;1403.0;218.3;0.0;6.43;218.0;244.3
2014-10-12 09:30:33:058;2711.0;20008.0;2.1;0.0;244.4;10.92;6.18;50.0;0.0;2777.0;1371.0;2712.0;10.3;12.48;45.0;0.0;1400.0;220.3;0.0;6.3;220.0;244.3
2014-10-12 09:30:38:065;2707.0;20008.0;2.1;0.0;244.4;10.89;6.25;49.99;0.0;2779.0;1375.0;2720.0;10.3;12.62;45.0;0.0;1404.0;220.3;0.0;6.37;220.0;244.3
2014-10-12 09:30:43:073;2717.0;20008.0;2.0;0.0;244.4;10.76;6.25;49.98;0.0;2779.0;1375.0;2729.0;10.3;12.62;45.0;0.04;1404.0;220.3;0.0;6.37;220.0;244.0
2014-10-12 09:30:48:081;2713.0;20008.0;2.0;0.0;244.4;10.92;6.37;49.98;0.0;2782.0;1376.0;2726.0;10.2;12.87;45.0;0.0;1406.0;216.4;0.0;6.5;216.0;244.3
2014-10-12 09:30:53:088;2711.0;20008.0;2.1;0.0;244.4;11.07;6.26;49.99;0.0;2781.0;1376.0;2726.0;10.1;12.64;45.0;0.0;1405.0;220.3;0.0;6.38;219.9;244.5
